"YubiKey Settings", "YubiKey Einstellungen"
"Yubikey Serial", "Seriennummer"
"Keys", "Keys"
"Serial", "Seriennummer"
"comment", "Kommentar"
"Lokale Authentifizierung", "Lokale Authentifizierung"
"Lokale Authentifizierung benutzen", "Lokale Authentifizierung benutzen"
"Zentrale Authentifizierung", "Zentrale Authentifizierung"
"Zentrale Authentifizierung benutzen", "Zentrale Authentifizierung benutzen"
"remote_server", "Server URL"
"yubikey_settings_save_success", "YubiKey Einstellungen gespeichert"
"yubikey_settings_save_error", "Fehler beim Speichern"
"yubikeySettingsController.php_settings_save_error", "PHP-Fehler beim Abspeichern der Einstellungen"
"Lokale Schlüssel", "Lokale Schlüssel für zentrale Authentifizierung"
"Private Key", "Private Key"
"Public Key", "Public Key"
"identifier", "Identifier"
"Neues Schlüsselpaar erzeugen", "Neues Schlüsselpaar erzeugen"
"yubikeyremoteauthenticator_key_error", "Fehler beim Erzeugen des Schlüsselpaars"
"YubiKey Icon zeigen beim Login", "YubiKey Icon zeigen beim Login"
"yubikeyremotepublickey_error", "Fehler beim Holen des Public Keys"
"Public Key vom Server holen", "Public Key vom Server holen"
