"YubiKey Settings", "YubiKey settings"
"Yubikey Serial", "Serial number"
"Keys", "Keys"
"Serial", "Serial number"
"comment", "Comment"
"Lokale Authentifizierung", "Local authentification"
"Lokale Authentifizierung benutzen", "Use local authentification"
"Zentrale Authentifizierung", "Central authentification"
"Zentrale Authentifizierung benutzen", "Use central authentification"
"remote_server", "Server URL"
"yubikey_settings_save_success", "YubiKey settings saved"
"yubikey_settings_save_error", "Error while saving"
"yubikeySettingsController.php_settings_save_error", "PHP-error on saving"
"Lokale Schlüssel", "Local key for central authentification"
"Private Key", "Private Key"
"Public Key", "Public Key"
"identifier", "Identifier"
"Neues Schlüsselpaar erzeugen", "Create new key pair"
"yubikeyremoteauthenticator_key_error", "Error while creating a new key pair"
"YubiKey Icon zeigen beim Login", "Show YubiKey Icon on login screen"
"yubikeyremotepublickey_error", "Error getting the public key"
"Public Key vom Server holen", "Get public key from server"
